L,H,Tau,P,A,Decreasing
0,0.111111111111111,0.05,0.333333333333333,0,1
0,0.111111111111111,0.05,0.333333333333333,1.11111111111111,1
0,0.111111111111111,0.05,0.333333333333333,2.22222222222222,1
0,0.111111111111111,0.05,0.333333333333333,3.33333333333333,1
0,0.111111111111111,0.05,0.333333333333333,4.44444444444444,1
0,0.111111111111111,0.05,0.333333333333333,5.55555555555556,0
0,0.111111111111111,0.05,0.333333333333333,6.66666666666667,0
0,0.111111111111111,0.05,0.333333333333333,7.77777777777778,0
0,0.111111111111111,0.05,0.333333333333333,8.88888888888889,0
0,0.111111111111111,0.05,0.333333333333333,10,0
0,0.111111111111111,0.15,0.333333333333333,0,1
0,0.111111111111111,0.15,0.333333333333333,1.11111111111111,1
0,0.111111111111111,0.15,0.333333333333333,2.22222222222222,1
0,0.111111111111111,0.15,0.333333333333333,3.33333333333333,1
0,0.111111111111111,0.15,0.333333333333333,4.44444444444444,1
0,0.111111111111111,0.15,0.333333333333333,5.55555555555556,1
0,0.111111111111111,0.15,0.333333333333333,6.66666666666667,1
0,0.111111111111111,0.15,0.333333333333333,7.77777777777778,1
0,0.111111111111111,0.15,0.333333333333333,8.88888888888889,1
0,0.111111111111111,0.15,0.333333333333333,10,1
0,0.111111111111111,0.25,0.333333333333333,0,1
0,0.111111111111111,0.25,0.333333333333333,1.11111111111111,1
0,0.111111111111111,0.25,0.333333333333333,2.22222222222222,1
0,0.111111111111111,0.25,0.333333333333333,3.33333333333333,1
0,0.111111111111111,0.25,0.333333333333333,4.44444444444444,1
0,0.111111111111111,0.25,0.333333333333333,5.55555555555556,1
0,0.111111111111111,0.25,0.333333333333333,6.66666666666667,1
0,0.111111111111111,0.25,0.333333333333333,7.77777777777778,1
0,0.111111111111111,0.25,0.333333333333333,8.88888888888889,1
0,0.111111111111111,0.25,0.333333333333333,10,1
0,0.111111111111111,0.35,0.333333333333333,0,1
0,0.111111111111111,0.35,0.333333333333333,1.11111111111111,1
0,0.111111111111111,0.35,0.333333333333333,2.22222222222222,1
0,0.111111111111111,0.35,0.333333333333333,3.33333333333333,1
0,0.111111111111111,0.35,0.333333333333333,4.44444444444444,1
0,0.111111111111111,0.35,0.333333333333333,5.55555555555556,1
0,0.111111111111111,0.35,0.333333333333333,6.66666666666667,1
0,0.111111111111111,0.35,0.333333333333333,7.77777777777778,1
0,0.111111111111111,0.35,0.333333333333333,8.88888888888889,1
0,0.111111111111111,0.35,0.333333333333333,10,1
0,0.111111111111111,0.45,0.333333333333333,0,1
