L,H,C,Tau,Intercept_mu,Intercept_k,H_bigger_Int,Intercept?
0,0.8,16,0.75,0.746179670095444,0.046567,1,1
0,0.8,16,0.85,0.741105973720551,0.046147,1,1
0,0.8,16,0.95,0.715256094932556,0.044218,1,1
0,0.8,18,0.05,0.772137083113194,0.042756,1,1
0,0.8,18,0.15,0.755271442234516,0.041752,1,1
0,0.8,18,0.25,0.750833563506603,0.041446,1,1
0,0.8,18,0.35,0.752968087792397,0.041887,1,1
0,0.8,18,0.45,0.750348463654518,0.041626,1,1
0,0.8,18,0.55,0.74816869199276,0.04141,1,1
0,0.8,18,0.65,0.748005583882332,0.041484,1,1
0,0.8,18,0.75,0.745952695608139,0.041338,1,1
0,0.8,18,0.85,0.741965711116791,0.041081,1,1
0,0.8,18,0.95,0.719914078712463,0.039661,1,1
0,0.8,20,0.05,0.766736797988415,0.038011,1,1
0,0.8,20,0.15,0.754202045500278,0.037507,1,1
0,0.8,20,0.25,0.753798626363277,0.037701,1,1
0,0.8,20,0.35,0.749946728348732,0.037344,1,1
0,0.8,20,0.45,0.74841733276844,0.037234,1,1
0,0.8,20,0.55,0.748935624957085,0.037369,1,1
0,0.8,20,0.65,0.747728988528252,0.037296,1,1
0,0.8,20,0.75,0.747267335653305,0.037354,1,1
0,0.8,20,0.85,0.742978155612946,0.037058,1,1
0,0.8,20,0.95,0.723497986793518,0.035937,1,1
0.1,0.8,2,0.05,0.834632247686386,0.313221,0,1
0.1,0.8,2,0.15,0.795195877552032,0.314281,1,1
0.1,0.8,2,0.25,0.781191408634186,0.314082,1,1
0.1,0.8,2,0.35,0.772634625434875,0.31252,1,1
0.1,0.8,2,0.45,0.766024470329285,0.310087,1,1
0.1,0.8,2,0.55,0.758892416954041,0.305422,1,1
0.1,0.8,2,0.65,0.749997496604919,0.297999,1,1
0.1,0.8,4,0.05,0.816359311342239,0.168973,0,1
0.1,0.8,4,0.15,0.786347925662994,0.166555,1,1
0.1,0.8,4,0.25,0.776216566562653,0.165031,1,1
0.1,0.8,4,0.35,0.77159982919693,0.164548,1,1
0.1,0.8,4,0.45,0.767431080341339,0.163504,1,1
0.1,0.8,4,0.55,0.764047980308533,0.16264,1,1
0.1,0.8,4,0.65,0.759737133979797,0.161191,1,1
0.1,0.8,4,0.75,0.75292694568634,0.158617,1,1
0.1,0.8,6,0.05,0.805081278085709,0.113931,0,1
0.1,0.8,6,0.15,0.779742687940598,0.11137,1,1
0.1,0.8,6,0.25,0.773994714021683,0.111103,1,1
0.1,0.8,6,0.35,0.770433843135834,0.110681,1,1
0.1,0.8,6,0.45,0.767729938030243,0.110251,1,1
0.1,0.8,6,0.55,0.765981018543243,0.110107,1,1
0.1,0.8,6,0.65,0.763165771961212,0.109539,1,1
0.1,0.8,6,0.75,0.758253693580627,0.108319,1,1
0.1,0.8,6,0.85,0.748129487037659,0.105896,1,1
0.1,0.8,8,0.05,0.797621801495552,0.085461,1,1
0.1,0.8,8,0.15,0.778569012880325,0.084202,1,1
0.1,0.8,8,0.25,0.772091537714005,0.08339,1,1
0.1,0.8,8,0.35,0.770299524068832,0.083423,1,1
0.1,0.8,8,0.45,0.768797904253006,0.08335,1,1
0.1,0.8,8,0.55,0.76576155424118,0.082718,1,1
0.1,0.8,8,0.65,0.764440834522247,0.082666,1,1
0.1,0.8,8,0.75,0.760521054267883,0.081925,1,1
0.1,0.8,8,0.85,0.753692507743835,0.080864,1,1
0.1,0.8,10,0.05,0.793128326535225,0.068379,1,1
0.1,0.8,10,0.15,0.776063099503517,0.067222,1,1
0.1,0.8,10,0.25,0.771743327379227,0.066912,1,1
0.1,0.8,10,0.35,0.768801242113113,0.066549,1,1
0.1,0.8,10,0.45,0.766944259405136,0.066331,1,1
0.1,0.8,10,0.55,0.766949862241745,0.066554,1,1
0.1,0.8,10,0.65,0.764886319637299,0.066263,1,1
0.1,0.8,10,0.75,0.762472927570343,0.065989,1,1
0.1,0.8,10,0.85,0.756623148918152,0.065219,1,1
0.1,0.8,12,0.05,0.790117338299751,0.056991,1,1
0.1,0.8,12,0.15,0.775637462735176,0.056185,1,1
0.1,0.8,12,0.25,0.770632401108742,0.055677,1,1
0.1,0.8,12,0.35,0.768623486161232,0.055516,1,1
0.1,0.8,12,0.45,0.767014354467392,0.055351,1,1
0.1,0.8,12,0.55,0.766196221113205,0.055329,1,1
0.1,0.8,12,0.65,0.765935748815536,0.055444,1,1
0.1,0.8,12,0.75,0.762898027896881,0.055033,1,1
0.1,0.8,12,0.85,0.758636593818665,0.05464,1,1
0.1,0.8,14,0.05,0.785522624850273,0.04845,1,1
0.1,0.8,14,0.15,0.772163257002831,0.047695,1,1
0.1,0.8,14,0.25,0.768569216132164,0.047438,1,1
0.1,0.8,14,0.35,0.769107028841972,0.047728,1,1
0.1,0.8,14,0.45,0.768043175339699,0.047665,1,1
0.1,0.8,14,0.55,0.767590254545212,0.047696,1,1
0.1,0.8,14,0.65,0.765398055315018,0.047417,1,1
0.1,0.8,14,0.75,0.763850629329681,0.047314,1,1
0.1,0.8,14,0.85,0.760259747505188,0.047041,1,1
0.1,0.8,14,0.95,0.738208770751953,0.0451,1,1
0.1,0.8,16,0.05,0.786334089934826,0.042756,1,1
0.1,0.8,16,0.15,0.77166385948658,0.041752,1,1
0.1,0.8,16,0.25,0.767830088734627,0.041446,1,1
0.1,0.8,16,0.35,0.769678190350533,0.041887,1,1
0.1,0.8,16,0.45,0.767418220639229,0.041626,1,1
0.1,0.8,16,0.55,0.765538364648819,0.04141,1,1
0.1,0.8,16,0.65,0.765400379896164,0.041484,1,1
0.1,0.8,16,0.75,0.763634026050568,0.041338,1,1
0.1,0.8,16,0.85,0.761102855205536,0.04123,1,1
0.1,0.8,16,0.95,0.742610454559326,0.039857,1,1
0.1,0.8,18,0.05,0.78506775945425,0.038011,1,1
0.1,0.8,18,0.15,0.774025782942772,0.037507,1,1
0.1,0.8,18,0.25,0.768357500433922,0.036952,1,1
0.1,0.8,18,0.35,0.770304188132286,0.037344,1,1
0.1,0.8,18,0.45,0.768965855240822,0.037234,1,1
0.1,0.8,18,0.55,0.76628614962101,0.03692,1,1
0.1,0.8,18,0.65,0.765940397977829,0.036947,1,1
0.1,0.8,18,0.75,0.764530092477798,0.036856,1,1
0.1,0.8,18,0.85,0.762195408344269,0.03676,1,1
0.1,0.8,18,0.95,0.745665431022644,0.035643,1,1
0.1,0.8,20,0.05,0.784056194126606,0.034215,1,1
0.1,0.8,20,0.15,0.769702471792698,0.033262,1,1
0.1,0.8,20,0.25,0.767762586474419,0.033207,1,1
0.1,0.8,20,0.35,0.768931582570076,0.03345,1,1
0.1,0.8,20,0.45,0.767968490719795,0.033391,1,1
0.1,0.8,20,0.55,0.767044350504875,0.033328,1,1
0.1,0.8,20,0.65,0.764863207936287,0.033108,1,1
0.1,0.8,20,0.75,0.764263659715652,0.033121,1,1
0.1,0.8,20,0.85,0.762107908725739,0.033035,1,1
0.1,0.8,20,0.95,0.748275399208069,0.032262,1,1
0.2,0.8,2,0.05,0.841248095035553,0.280955,0,1
0.2,0.8,2,0.15,0.808500945568085,0.28117,0,1
0.2,0.8,2,0.25,0.797719836235046,0.281126,1,1
0.2,0.8,2,0.35,0.790809035301208,0.279421,1,1
0.2,0.8,2,0.45,0.785913348197937,0.277696,1,1
0.2,0.8,2,0.55,0.781063675880432,0.27489,1,1
0.2,0.8,2,0.65,0.774684906005859,0.26973,1,1
0.2,0.8,4,0.05,0.824735194444656,0.149044,0,1
0.2,0.8,4,0.15,0.799653828144073,0.146179,1,1
0.2,0.8,4,0.25,0.792990982532501,0.145557,1,1
0.2,0.8,4,0.35,0.789405524730682,0.145078,1,1
0.2,0.8,4,0.45,0.787166476249695,0.144838,1,1
0.2,0.8,4,0.55,0.784050583839417,0.143782,1,1
0.2,0.8,4,0.65,0.781360745429993,0.143043,1,1
0.2,0.8,4,0.75,0.776421904563904,0.141187,1,1
0.2,0.8,4,0.85,0.765181541442871,0.136739,1,1
0.2,0.8,6,0.05,0.816876977682114,0.100645,0,1
0.2,0.8,6,0.15,0.797222465276718,0.098635,1,1
0.2,0.8,6,0.25,0.791009038686752,0.097621,1,1
0.2,0.8,6,0.35,0.789314806461334,0.097701,1,1
0.2,0.8,6,0.45,0.786639034748077,0.097075,1,1
0.2,0.8,6,0.55,0.785614669322968,0.097086,1,1
0.2,0.8,6,0.65,0.783463358879089,0.096626,1,1
0.2,0.8,6,0.75,0.78018844127655,0.095869,1,1
0.2,0.8,6,0.85,0.772946834564209,0.094125,1,1
0.2,0.8,8,0.05,0.809561625123024,0.075022,0,1
0.2,0.8,8,0.15,0.794895857572556,0.074014,1,1
0.2,0.8,8,0.25,0.790903300046921,0.073653,1,1
0.2,0.8,8,0.35,0.787622183561325,0.073039,1,1
0.2,0.8,8,0.45,0.786333024501801,0.072919,1,1
0.2,0.8,8,0.55,0.785306990146637,0.07284,1,1
0.2,0.8,8,0.65,0.783572971820831,0.072545,1,1
0.2,0.8,8,0.75,0.782084822654724,0.072463,1,1
0.2,0.8,8,0.85,0.776553511619568,0.071477,1,1
0.2,0.8,10,0.05,0.805366173386574,0.059838,0,1
0.2,0.8,10,0.15,0.791623443365097,0.058732,1,1
0.2,0.8,10,0.25,0.789139360189438,0.058673,1,1
0.2,0.8,10,0.35,0.788367360830307,0.058761,1,1
0.2,0.8,10,0.45,0.78718289732933,0.058645,1,1
0.2,0.8,10,0.55,0.785894572734833,0.058472,1,1
0.2,0.8,10,0.65,0.784317553043365,0.058236,1,1
0.2,0.8,10,0.75,0.782515466213226,0.058021,1,1
0.2,0.8,10,0.85,0.778882622718811,0.05762,1,1
0.2,0.8,12,0.05,0.805480465292931,0.050348,0,1
0.2,0.8,12,0.15,0.792850241065025,0.049393,1,1
0.2,0.8,12,0.25,0.788831189274788,0.048936,1,1
0.2,0.8,12,0.35,0.78832283616066,0.049026,1,1
0.2,0.8,12,0.45,0.786509841680527,0.048763,1,1
0.2,0.8,12,0.55,0.785219103097916,0.048594,1,1
0.2,0.8,12,0.65,0.785615384578705,0.048813,1,1
0.2,0.8,12,0.75,0.78362911939621,0.048559,1,1
0.2,0.8,12,0.85,0.780371308326721,0.048233,1,1
0.2,0.8,12,0.95,0.762377738952637,0.046374,1,1
0.2,0.8,14,0.05,0.801489993929863,0.042756,0,1
0.2,0.8,14,0.15,0.789047464728355,0.041752,1,1
0.2,0.8,14,0.25,0.78982774913311,0.042195,1,1
0.2,0.8,14,0.35,0.787396058440208,0.041887,1,1
0.2,0.8,14,0.45,0.785490542650223,0.041626,1,1
0.2,0.8,14,0.55,0.786264151334763,0.041859,1,1
0.2,0.8,14,0.65,0.785622030496597,0.041833,1,1
0.2,0.8,14,0.75,0.783606946468353,0.041587,1,1
0.2,0.8,14,0.85,0.780973553657532,0.041379,1,1
0.2,0.8,14,0.95,0.766342639923096,0.040151,1,1
0.2,0.8,16,0.05,0.797951087355614,0.037062,1,1
0.2,0.8,16,0.15,0.789375260472298,0.036658,1,1
0.2,0.8,16,0.25,0.789770409464836,0.036952,1,1
0.2,0.8,16,0.35,0.787514433264732,0.036695,1,1
0.2,0.8,16,0.45,0.786993339657784,0.036685,1,1
0.2,0.8,16,0.55,0.785307258367538,0.036471,1,1
0.2,0.8,16,0.65,0.785626024007797,0.036598,1,1
0.2,0.8,16,0.75,0.783553183078766,0.036358,1,1
0.2,0.8,16,0.85,0.781913638114929,0.036313,1,1
0.2,0.8,16,0.95,0.769307613372803,0.035398,1,1
0.2,0.8,18,0.05,0.799335159361362,0.033266,1,1
0.2,0.8,18,0.15,0.787839248776436,0.032413,1,1
0.2,0.8,18,0.25,0.786915585398674,0.032458,1,1
0.2,0.8,18,0.35,0.788655802607536,0.032801,1,1
0.2,0.8,18,0.45,0.788520023226738,0.032842,1,1
0.2,0.8,18,0.55,0.785370066761971,0.03243,1,1
0.2,0.8,18,0.65,0.784843653440475,0.03241,1,1
0.2,0.8,18,0.75,0.784028619527817,0.032374,1,1
0.2,0.8,18,0.85,0.782248198986053,0.03229,1,1
0.2,0.8,18,0.95,0.771467685699463,0.031625,1,1
0.2,0.8,20,0.05,0.794761024415493,0.02947,1,1
0.2,0.8,20,0.15,0.79292269051075,0.029866,1,1
0.2,0.8,20,0.25,0.788672998547554,0.029462,1,1
0.2,0.8,20,0.35,0.788835898041725,0.029556,1,1
0.2,0.8,20,0.45,0.788402125239372,0.029548,1,1
0.2,0.8,20,0.55,0.786112621426582,0.029287,1,1
0.2,0.8,20,0.65,0.785622030496597,0.029269,1,1
0.2,0.8,20,0.75,0.784118920564651,0.029137,1,1
0.2,0.8,20,0.85,0.783190071582794,0.029161,1,1
0.2,0.8,20,0.95,0.772924423217773,0.028538,1,1
0.3,0.8,2,0.05,0.850066840648651,0.24774,0,1
0.3,0.8,2,0.15,0.823954224586487,0.24721,0,1
0.3,0.8,2,0.25,0.815628886222839,0.246672,0,1
0.3,0.8,2,0.35,0.810856699943542,0.245673,0,1
0.3,0.8,2,0.45,0.807194590568542,0.244207,0,1
0.3,0.8,2,0.55,0.803680419921875,0.242113,0,1
0.3,0.8,2,0.65,0.799545764923096,0.239018,1,1
0.3,0.8,2,0.75,0.792697429656982,0.232819,1,1
0.3,0.8,4,0.05,0.835488945245743,0.129115,0,1
0.3,0.8,4,0.15,0.81771856546402,0.127501,0,1
0.3,0.8,4,0.25,0.811487972736359,0.126083,0,1
0.3,0.8,4,0.35,0.809754014015198,0.126257,0,1
0.3,0.8,4,0.45,0.807505249977112,0.125623,0,1
0.3,0.8,4,0.55,0.806054711341858,0.125373,0,1
0.3,0.8,4,0.65,0.803731322288513,0.124546,0,1
0.3,0.8,4,0.75,0.800320148468018,0.123259,0,1
0.3,0.8,4,0.85,0.793248653411865,0.120647,1,1
0.3,0.8,6,0.05,0.828167051076889,0.08641,0,1
0.3,0.8,6,0.15,0.814231932163239,0.085051,0,1
0.3,0.8,6,0.25,0.811170876026154,0.084888,0,1
0.3,0.8,6,0.35,0.808044016361237,0.084072,0,1
0.3,0.8,6,0.45,0.807999193668365,0.084448,0,1
0.3,0.8,6,0.55,0.806428074836731,0.084065,0,1
0.3,0.8,6,0.65,0.804876685142517,0.083713,0,1
0.3,0.8,6,0.75,0.802589058876038,0.08317,0,1
0.3,0.8,6,0.85,0.798138618469238,0.082205,1,1
0.3,0.8,8,0.05,0.823319286108017,0.064583,0,1
0.3,0.8,8,0.15,0.812692493200302,0.063826,0,1
0.3,0.8,8,0.25,0.808721154928207,0.063167,0,1
0.3,0.8,8,0.35,0.808160006999969,0.063304,0,1
0.3,0.8,8,0.45,0.806733787059784,0.063037,0,1
0.3,0.8,8,0.55,0.805966198444366,0.062962,0,1
0.3,0.8,8,0.65,0.805820822715759,0.063122,0,1
0.3,0.8,8,0.75,0.803890109062195,0.062752,0,1
0.3,0.8,8,0.85,0.800581455230713,0.062239,0,1
0.3,0.8,10,0.05,0.819360300898552,0.051297,0,1
0.3,0.8,10,0.15,0.811863034963608,0.051091,0,1
0.3,0.8,10,0.25,0.810597747564316,0.051183,0,1
0.3,0.8,10,0.35,0.809039741754532,0.050973,0,1
0.3,0.8,10,0.45,0.806466370820999,0.05041,0,1
0.3,0.8,10,0.55,0.805953443050385,0.05039,0,1
0.3,0.8,10,0.65,0.806070148944855,0.050558,0,1
0.3,0.8,10,0.75,0.804445862770081,0.050302,0,1
0.3,0.8,10,0.85,0.801942825317383,0.050021,0,1
0.3,0.8,10,0.95,0.787790298461914,0.048285,1,1
0.3,0.8,12,0.05,0.817762777209282,0.042756,0,1
0.3,0.8,12,0.15,0.811367064714432,0.042601,0,1
0.3,0.8,12,0.25,0.808232098817825,0.042195,0,1
0.3,0.8,12,0.35,0.809092968702316,0.042536,0,1
0.3,0.8,12,0.45,0.807079583406448,0.042175,0,1
0.3,0.8,12,0.55,0.807286947965622,0.042308,0,1
0.3,0.8,12,0.65,0.806328237056732,0.042182,0,1
0.3,0.8,12,0.75,0.805310904979706,0.042085,0,1
0.3,0.8,12,0.85,0.802938342094421,0.041826,0,1
0.3,0.8,12,0.95,0.791482448577881,0.04069,1,1
0.3,0.8,14,0.05,0.818871065974236,0.037062,0,1
0.3,0.8,14,0.15,0.811689659953117,0.036658,0,1
0.3,0.8,14,0.25,0.808187752962112,0.036203,0,1
0.3,0.8,14,0.35,0.806841284036636,0.036046,0,1
0.3,0.8,14,0.45,0.806934922933578,0.036136,0,1
0.3,0.8,14,0.55,0.806040316820145,0.036022,0,1
0.3,0.8,14,0.65,0.806835114955902,0.036249,0,1
0.3,0.8,14,0.75,0.80561226606369,0.036109,0,1
0.3,0.8,14,0.85,0.803312659263611,0.035866,0,1
0.3,0.8,14,0.95,0.793897151947021,0.035104,1,1
0.3,0.8,16,0.05,0.817261382937431,0.032317,0,1
0.3,0.8,16,0.15,0.808328554034233,0.031564,0,1
0.3,0.8,16,0.25,0.808206632733345,0.031709,0,1
0.3,0.8,16,0.35,0.806527465581894,0.031503,0,1
0.3,0.8,16,0.45,0.807613462209702,0.031744,0,1
0.3,0.8,16,0.55,0.80610379576683,0.031532,0,1
0.3,0.8,16,0.65,0.806834906339645,0.031712,0,1
0.3,0.8,16,0.75,0.805889666080475,0.031627,0,1
0.3,0.8,16,0.85,0.803617358207703,0.031396,0,1
0.3,0.8,16,0.95,0.795827865600586,0.03089,1,1
0.3,0.8,18,0.05,0.815120115876198,0.028521,0,1
0.3,0.8,18,0.15,0.808835074305534,0.028168,0,1
0.3,0.8,18,0.25,0.80661652982235,0.027964,0,1
0.3,0.8,18,0.35,0.808133408427238,0.028258,0,1
0.3,0.8,18,0.45,0.805511459708214,0.027901,0,1
0.3,0.8,18,0.55,0.805522173643112,0.02794,0,1
0.3,0.8,18,0.65,0.807082027196884,0.028222,0,1
0.3,0.8,18,0.75,0.806149423122406,0.028141,0,1
0.3,0.8,18,0.85,0.804189801216125,0.027969,0,1
0.3,0.8,18,0.95,0.797213554382324,0.027558,1,1
0.3,0.8,20,0.05,0.814600482583046,0.025674,0,1
0.3,0.8,20,0.15,0.81064809858799,0.025621,0,1
0.3,0.8,20,0.25,0.810550913214684,0.025717,0,1
0.3,0.8,20,0.35,0.809755519032478,0.025662,0,1
0.3,0.8,20,0.45,0.805811509490013,0.025156,0,1
0.3,0.8,20,0.55,0.806243389844894,0.025246,0,1
0.3,0.8,20,0.65,0.807325452566147,0.02543,0,1
0.3,0.8,20,0.75,0.806753933429718,0.025402,0,1
0.3,0.8,20,0.85,0.804096400737762,0.025138,0,1
0.3,0.8,20,0.95,0.798245429992676,0.024863,1,1
0.4,0.8,2,0.05,0.861362278461456,0.213576,0,1
0.4,0.8,2,0.15,0.840976119041443,0.211552,0,1
0.4,0.8,2,0.25,0.834984660148621,0.21072,0,1
0.4,0.8,2,0.35,0.832241892814636,0.210627,0,1
0.4,0.8,2,0.45,0.829803466796875,0.20962,0,1
0.4,0.8,2,0.55,0.827621936798096,0.208438,0,1
0.4,0.8,2,0.65,0.824769020080566,0.206212,0,1
0.4,0.8,2,0.75,0.820628643035889,0.20269,0,1
0.4,0.8,4,0.05,0.848822057247162,0.109186,0,1
0.4,0.8,4,0.15,0.836404740810394,0.107974,0,1
0.4,0.8,4,0.25,0.832817912101746,0.107358,0,1
0.4,0.8,4,0.35,0.830695748329163,0.106787,0,1
0.4,0.8,4,0.45,0.830074191093445,0.106957,0,1
0.4,0.8,4,0.55,0.828740954399109,0.106515,0,1
0.4,0.8,4,0.65,0.827340126037598,0.106049,0,1
0.4,0.8,4,0.75,0.825291633605957,0.105331,0,1
0.4,0.8,4,0.85,0.820975303649902,0.10381,0,1
0.4,0.8,6,0.05,0.844074577093124,0.073124,0,1
0.4,0.8,6,0.15,0.834865033626556,0.072316,0,1
0.4,0.8,6,0.25,0.831121861934662,0.071406,0,1
0.4,0.8,6,0.35,0.830981075763702,0.071741,0,1
0.4,0.8,6,0.45,0.829424023628235,0.071272,0,1
0.4,0.8,6,0.55,0.829401135444641,0.071493,0,1
0.4,0.8,6,0.65,0.828163504600525,0.071149,0,1
0.4,0.8,6,0.75,0.827037811279297,0.070969,0,1
0.4,0.8,6,0.85,0.824055671691895,0.070285,0,1
0.4,0.8,8,0.05,0.842067390680313,0.055093,0,1
0.4,0.8,8,0.15,0.832069545984268,0.053638,0,1
0.4,0.8,8,0.25,0.830178201198578,0.05343,0,1
0.4,0.8,8,0.35,0.829943716526031,0.053569,0,1
0.4,0.8,8,0.45,0.82989889383316,0.053704,0,1
0.4,0.8,8,0.55,0.829058110713959,0.053533,0,1
0.4,0.8,8,0.65,0.828154683113098,0.05335,0,1
0.4,0.8,8,0.75,0.827414393424988,0.05329,0,1
0.4,0.8,8,0.85,0.82541036605835,0.053001,0,1
0.4,0.8,8,0.95,.,.,.,0
0.4,0.8,10,0.05,0.838957160711288,0.043705,0,1
0.4,0.8,10,0.15,0.833417981863022,0.04345,0,1
0.4,0.8,10,0.25,0.830559223890305,0.042944,0,1
0.4,0.8,10,0.35,0.830903589725494,0.043185,0,1
0.4,0.8,10,0.45,0.828951179981232,0.042724,0,1
0.4,0.8,10,0.55,0.828777134418488,0.042757,0,1
0.4,0.8,10,0.65,0.828881919384003,0.04288,0,1
0.4,0.8,10,0.75,0.82824718952179,0.042832,0,1
0.4,0.8,10,0.85,0.826367378234863,0.042571,0,1
0.4,0.8,10,0.95,0.81773042678833,0.041523,0,1
0.4,0.8,12,0.05,0.836442619562149,0.036113,0,1
0.4,0.8,12,0.15,0.83130756020546,0.035809,0,1
0.4,0.8,12,0.25,0.832117408514023,0.036203,0,1
0.4,0.8,12,0.35,0.83102759718895,0.036046,0,1
0.4,0.8,12,0.45,0.828817456960678,0.035587,0,1
0.4,0.8,12,0.55,0.8285191655159,0.035573,0,1
0.4,0.8,12,0.65,0.828161895275116,0.035551,0,1
0.4,0.8,12,0.75,0.828020215034485,0.035611,0,1
0.4,0.8,12,0.85,0.827013492584229,0.035568,0,1
0.4,0.8,12,0.95,0.819902896881104,0.034859,0,1
0.4,0.8,14,0.05,0.837826117873192,0.031368,0,1
0.4,0.8,14,0.15,0.831146866083145,0.030715,0,1
0.4,0.8,14,0.25,0.831617921590805,0.03096,0,1
0.4,0.8,14,0.35,0.830734342336655,0.030854,0,1
0.4,0.8,14,0.45,0.829472810029984,0.030646,0,1
0.4,0.8,14,0.55,0.829205930233002,0.030634,0,1
0.4,0.8,14,0.65,0.829124629497528,0.030665,0,1
0.4,0.8,14,0.75,0.828620791435242,0.030631,0,1
0.4,0.8,14,0.85,0.827287554740906,0.030502,0,1
0.4,0.8,14,0.95,0.821334838867188,0.030008,0,1
0.4,0.8,16,0.05,0.837962731719017,0.027572,0,1
0.4,0.8,16,0.15,0.833478659391403,0.027319,0,1
0.4,0.8,16,0.25,0.832217305898666,0.027215,0,1
0.4,0.8,16,0.35,0.830464452505112,0.02696,0,1
0.4,0.8,16,0.45,0.829374700784683,0.026803,0,1
0.4,0.8,16,0.55,0.830524653196335,0.027042,0,1
0.4,0.8,16,0.65,0.829117953777313,0.026826,0,1
0.4,0.8,16,0.75,0.827832996845245,0.026647,0,1
0.4,0.8,16,0.85,0.827108979225159,0.026628,0,1
0.4,0.8,16,0.95,0.822364330291748,0.026333,0,1
0.4,0.8,18,0.05,0.832607731223106,0.023776,0,1
0.4,0.8,18,0.15,0.831010743975639,0.023923,0,1
0.4,0.8,18,0.25,0.832312658429146,0.024219,0,1
0.4,0.8,18,0.35,0.828847199678421,0.023715,0,1
0.4,0.8,18,0.45,0.830820173025131,0.024058,0,1
0.4,0.8,18,0.55,0.829655796289444,0.023899,0,1
0.4,0.8,18,0.65,0.828139364719391,0.023685,0,1
0.4,0.8,18,0.75,0.829263150691986,0.023908,0,1
0.4,0.8,18,0.85,0.828013300895691,0.023797,0,1
