L,H,C,Tau,Decreasing
0.355555555555556,0.8,4,0.85,1
0.355555555555556,0.8,4,0.95,1
0.355555555555556,0.8,5,0.05,1
0.355555555555556,0.8,5,0.15,1
0.355555555555556,0.8,5,0.25,1
0.355555555555556,0.8,5,0.35,1
0.355555555555556,0.8,5,0.45,1
0.355555555555556,0.8,5,0.55,1
0.355555555555556,0.8,5,0.65,1
0.355555555555556,0.8,5,0.75,1
0.355555555555556,0.8,5,0.85,1
0.355555555555556,0.8,5,0.95,1
0.355555555555556,0.8,6,0.05,1
0.355555555555556,0.8,6,0.15,1
0.355555555555556,0.8,6,0.25,1
0.355555555555556,0.8,6,0.35,1
0.355555555555556,0.8,6,0.45,1
0.355555555555556,0.8,6,0.55,1
0.355555555555556,0.8,6,0.65,1
0.355555555555556,0.8,6,0.75,1
0.355555555555556,0.8,6,0.85,1
0.355555555555556,0.8,6,0.95,1
0.355555555555556,0.8,7,0.05,1
0.355555555555556,0.8,7,0.15,1
0.355555555555556,0.8,7,0.25,1
0.355555555555556,0.8,7,0.35,1
0.355555555555556,0.8,7,0.45,1
0.355555555555556,0.8,7,0.55,1
0.355555555555556,0.8,7,0.65,1
0.355555555555556,0.8,7,0.75,1
0.355555555555556,0.8,7,0.85,1
0.355555555555556,0.8,7,0.95,1
0.355555555555556,0.8,8,0.05,1
0.355555555555556,0.8,8,0.15,1
0.355555555555556,0.8,8,0.25,1
0.355555555555556,0.8,8,0.35,1
0.355555555555556,0.8,8,0.45,1
0.355555555555556,0.8,8,0.55,1
0.355555555555556,0.8,8,0.65,1
0.355555555555556,0.8,8,0.75,1
0.355555555555556,0.8,8,0.85,1
0.355555555555556,0.8,8,0.95,1
0.355555555555556,0.8,9,0.05,1
0.355555555555556,0.8,9,0.15,1
0.355555555555556,0.8,9,0.25,1
0.355555555555556,0.8,9,0.35,1
0.355555555555556,0.8,9,0.45,1
0.355555555555556,0.8,9,0.55,1
0.355555555555556,0.8,9,0.65,1
0.355555555555556,0.8,9,0.75,1
